"Individual","Coverage","Category","HET_SENSITIVITY","HET_PPV","HET_SPECIFICITY","HOMVAR_SENSITIVITY","HOMVAR_PPV","HOMVAR_SPECIFICITY","VAR_SENSITIVITY","VAR_PPV","VAR_SPECIFICITY","GENOTYPE_CONCORDANCE","NON_REF_GENOTYPE_CONCORDANCE"
"Mota","0.0625X","Archaic New",0.882857,0.726293,NA,0.858131,0.827068,NA,0.871674,0.763014,0.728414,0.2837,0.2837
"Mota","0.5X","Archaic Shared",0.938272,0.810811,NA,0.891892,0.977528,NA,0.923729,0.849351,0.837535,0.325077,0.325077
"Mota","0.5X","Not Detected As Archaic",0.881865,0.737238,NA,0.903367,0.911854,NA,0.892604,0.809315,0.758704,0.31352,0.31352
"Mota","0.5X","Archaic Original",0.84573,0.776256,NA,0.782787,0.84492,NA,0.820428,0.7968,0.782906,0.335029,0.335029
"Mota","0.5X","Archaic New",0.958977,0.792987,NA,0.969442,0.913599,NA,0.962752,0.831719,0.804389,0.324554,0.324554
"Mota","1X","Archaic Shared",0.921053,0.788945,NA,0.797619,0.943396,NA,0.877119,0.821429,0.811715,0.32646,0.32646
"Mota","1X","Not Detected As Archaic",0.925731,0.768813,NA,0.934693,0.922382,NA,0.930138,0.833621,0.778332,0.32784,0.32784
"Mota","1X","Archaic Original",0.801762,0.699816,NA,0.900763,0.876494,NA,0.837989,0.755668,0.759006,0.317302,0.317302
"Mota","1X","Archaic New",0.973204,0.808197,NA,0.974127,0.925856,NA,0.973578,0.851018,0.811433,0.333318,0.333318
"Mota","2X","Archaic Shared",0.960422,0.838074,NA,0.905,0.885246,NA,0.941278,0.851562,0.826642,0.35302,0.35302
"Mota","2X","Not Detected As Archaic",0.957956,0.797931,NA,0.956597,0.929581,NA,0.957295,0.854504,0.79696,0.338388,0.338388
"Mota","2X","Archaic Original",0.881057,0.750831,NA,0.779221,0.912621,NA,0.839895,0.792079,0.78125,0.326988,0.326988
"Mota","2X","Archaic New",0.978294,0.814995,NA,0.974146,0.932912,NA,0.976537,0.859935,0.815867,0.340726,0.340726
"NE1","0.0625X","Archaic Shared",0.976138,0.932553,NA,0.990261,0.9556,NA,0.981528,0.941243,0.915133,0.582975,0.582975
"NE1","0.0625X","Not Detected As Archaic",0.828034,0.82373,NA,0.914559,0.906376,NA,0.874126,0.865922,0.797047,0.516434,0.516434
"NE1","0.0625X","Archaic Original",0.836224,0.86134,NA,0.891941,0.904506,NA,0.859688,0.878554,0.843373,0.507534,0.507534
"NE1","0.0625X","Archaic New",0.987659,0.91739,NA,0.997459,0.949727,NA,0.99129,0.92917,0.900681,0.556997,0.556997
"NE1","0.5X","Archaic Shared",0.991224,0.932062,NA,0.993837,0.956108,NA,0.992232,0.941183,0.913807,0.588122,0.588122
"NE1","0.5X","Not Detected As Archaic",0.972409,0.905236,NA,0.988402,0.946973,NA,0.980684,0.926401,0.871676,0.590322,0.590322
"NE1","0.5X","Archaic Original",0.952941,0.908414,NA,0.987952,0.951707,NA,0.969635,0.928852,0.884713,0.601388,0.601388
"NE1","0.5X","Archaic New",0.991656,0.921917,NA,0.994208,0.9532,NA,0.992598,0.933214,0.905755,0.564932,0.564932
"NE1","1X","Archaic Shared",0.994231,0.934762,NA,0.995729,0.95755,NA,0.994815,0.943496,0.916298,0.590946,0.590946
"NE1","1X","Not Detected As Archaic",0.984525,0.91321,NA,0.993693,0.949818,NA,0.989264,0.931789,0.879215,0.596124,0.596124
"NE1","1X","Archaic Original",0.94433,0.948665,NA,0.988981,0.941645,NA,0.963443,0.945602,0.915619,0.623466,0.623466
"NE1","1X","Archaic New",0.994104,0.919708,NA,0.996726,0.954274,NA,0.995102,0.932567,0.903348,0.565878,0.565878
"NE1","2X","Archaic Shared",0.996847,0.935126,NA,0.996944,0.958068,NA,0.996885,0.943913,0.916753,0.591528,0.591528
"NE1","2X","Not Detected As Archaic",0.991567,0.916654,NA,0.996319,0.951407,NA,0.994024,0.934297,0.882694,0.598616,0.598616
"NE1","2X","Archaic Original",0.964072,0.952663,NA,1,0.993007,NA,0.980583,0.971154,0.951087,0.660131,0.660131
"NE1","2X","Archaic New",0.996167,0.919241,NA,0.996577,0.955121,NA,0.996327,0.932906,0.902361,0.567002,0.567002
"PB675","0.0625X","Archaic Shared",0.980309,0.92538,NA,0.990999,0.956418,NA,0.985314,0.939663,0.900468,0.527635,0.527635
"PB675","0.0625X","Not Detected As Archaic",0.831115,0.828124,NA,0.921216,0.906365,NA,0.879364,0.86863,0.798439,0.477698,0.477698
"PB675","0.0625X","Archaic Original",0.853561,0.865338,NA,0.909358,0.897899,NA,0.876352,0.878165,0.843605,0.461215,0.461215
"PB675","0.0625X","Archaic New",0.984591,0.910305,NA,0.985501,0.916975,NA,0.984903,0.912575,0.883721,0.485553,0.485553
"PB675","0.5X","Archaic Shared",0.992764,0.926354,NA,0.995028,0.94994,NA,0.993726,0.936206,0.901557,0.524878,0.524878
"PB675","0.5X","Not Detected As Archaic",0.977054,0.904666,NA,0.990833,0.944944,NA,0.984249,0.925309,0.86852,0.539662,0.539662
"PB675","0.5X","Archaic Original",0.944444,0.939698,NA,0.994836,0.958541,NA,0.965768,0.94782,0.91978,0.561463,0.561463
"PB675","0.5X","Archaic New",0.992096,0.922491,NA,0.995826,0.947361,NA,0.99348,0.931566,0.903172,0.501894,0.501894
"PB675","1X","Archaic Shared",0.994964,0.926234,NA,0.997005,0.95127,NA,0.995831,0.93669,0.902178,0.52692,0.52692
"PB675","1X","Not Detected As Archaic",0.987284,0.909827,NA,0.995141,0.947748,NA,0.991385,0.929256,0.874063,0.54361,0.54361
"PB675","1X","Archaic Original",0.911111,0.903704,NA,1,0.965116,NA,0.9447,0.927602,0.90184,0.538259,0.538259
"PB675","1X","Archaic New",0.994521,0.922249,NA,0.997299,0.94296,NA,0.995573,0.929984,0.8998,0.505672,0.505672
"PB675","2X","Archaic Shared",0.997,0.92772,NA,0.997844,0.95173,NA,0.997358,0.937749,0.903531,0.527367,0.527367
"PB675","2X","Not Detected As Archaic",0.993337,0.913987,NA,0.997123,0.948794,NA,0.995313,0.93183,0.87764,0.545586,0.545586
"PB675","2X","Archaic Original",0.957143,0.930556,NA,1,1,NA,0.969697,0.950495,0.9375,0.596273,0.596273
"PB675","2X","Archaic New",0.996674,0.926236,NA,0.997583,0.951353,NA,0.997029,0.93587,0.905911,0.51239,0.51239
"SRA62","0.0625X","Archaic Shared",0.968297,0.911495,NA,0.975745,0.961218,NA,0.971772,0.933645,0.894112,0.463687,0.463687
"SRA62","0.0625X","Not Detected As Archaic",0.836084,0.77915,NA,0.916447,0.91816,NA,0.890023,0.864505,0.741429,0.454758,0.454758
"SRA62","0.0625X","Archaic Original",0.849439,0.835587,NA,0.901001,0.939264,NA,0.885261,0.899879,0.782248,0.468092,0.468092
"SRA62","0.0625X","Archaic New",0.971125,0.873089,NA,0.981672,0.932323,NA,0.975621,0.897241,0.853813,0.42776,0.42776
"SRA62","0.5X","Archaic Shared",0.990752,0.909371,NA,0.992897,0.961776,NA,0.991991,0.938829,0.877463,0.499146,0.499146
"SRA62","0.5X","Not Detected As Archaic",0.971617,0.870327,NA,0.986791,0.943474,NA,0.981648,0.917146,0.813449,0.509531,0.509531
"SRA62","0.5X","Archaic Original",0.884868,0.802667,NA,0.947368,0.916803,NA,0.92696,0.873482,0.750996,0.495221,0.495221
"SRA62","0.5X","Archaic New",0.98806,0.894598,NA,0.990047,0.939937,NA,0.988947,0.914137,0.869281,0.448462,0.448462
"SRA62","1X","Archaic Shared",0.993988,0.909352,NA,0.994396,0.962316,NA,0.994225,0.939161,0.877726,0.500197,0.500197
"SRA62","1X","Not Detected As Archaic",0.983552,0.878083,NA,0.991873,0.945411,NA,0.989052,0.921318,0.819939,0.513644,0.513644
"SRA62","1X","Archaic Original",0.943182,0.791304,NA,0.953846,0.962162,NA,0.95053,0.896667,0.78169,0.571744,0.571744
"SRA62","1X","Archaic New",0.992223,0.892986,NA,0.993641,0.942363,NA,0.992878,0.915051,0.86709,0.453297,0.453297
"SRA62","2X","Archaic Shared",0.997087,0.913122,NA,0.995322,0.963418,NA,0.996065,0.94146,0.881474,0.502366,0.502366
"SRA62","2X","Not Detected As Archaic",0.991107,0.885829,NA,0.994869,0.946276,NA,0.993594,0.924777,0.82532,0.516531,0.516531
"SRA62","2X","Archaic Original",0.9,0.92,NA,0.921875,0.964286,NA,0.916667,0.950617,0.846154,0.549618,0.549618
"SRA62","2X","Archaic New",0.994899,0.898332,NA,0.995408,0.947575,NA,0.995138,0.92075,0.873096,0.455451,0.455451
