Coverage,Sample,KHV,JPT,CDX,CHS,CHB,BEB,GIH,ITU,STU,PJL,CEU,GBR,TSI,IBS,FIN
1X,NE1,0.04593435588888966,0.04623686321636491,0.043790762673739866,0.04526709857970154,0.04662761175195271,0.0587054395614606,0.06682149739053192,0.06135518712669613,0.06716785488870439,0.061310603881987016,0.09197587423068725,0.09089504386860045,0.09725375907822285,0.09266751170425358,0.08399053615820712
1X,PB675,0.04732983852243562,0.04822190071652788,0.04707710853026898,0.048049231525572715,0.04776067622493901,0.05721137325033167,0.0634225051967883,0.05969012347014051,0.06537502864309265,0.05979700772547117,0.09140635185120104,0.09054136356615813,0.09342725465640137,0.09471195495522597,0.08597828116544501
1X,Stuttgart,0.05228323991557257,0.05151294672596449,0.05265908269162372,0.0523069998495519,0.052326198870723636,0.054810384553871924,0.06054908468170886,0.05586454536772036,0.06188931024304995,0.05761120675525434,0.09132701357413814,0.08651899299772677,0.09461960203849404,0.09194069457330382,0.08378069716129542
1X,WC1,0.05398111100097337,0.05748613939187331,0.053012063031668735,0.05659417665509807,0.05560054238560612,0.06643209493041745,0.07349477147953434,0.06775068295945465,0.0707421049540489,0.06712934819586248,0.07612780557976838,0.07366545492643739,0.07741611480315054,0.07347121590423322,0.07709637380187309
1X,Ust_Ishim,0.06759768081073193,0.0658903763676104,0.06595337434785913,0.06738558075852663,0.06712358237590568,0.06758833461640666,0.0644277203099532,0.06458368292691123,0.0671806029414242,0.06541198598191543,0.06759439072140294,0.06932571543073976,0.06773042001968353,0.06655329483655446,0.06565325755437494
1X,Yana1,0.06929138313372205,0.06784479894757378,0.06963340463696016,0.06902953209707936,0.06831457341094783,0.061589578576234316,0.062382884412712045,0.05933365818996467,0.06259937586340465,0.06006832115188344,0.07191240202709298,0.07085342993955748,0.06602673304715193,0.06731261642767918,0.07380730813803611
1X,BOT2016,0.06515444671298772,0.06701219611574775,0.0624231405311445,0.06595067062066899,0.06647313552527434,0.0610567633925863,0.06332317440398372,0.061798604531960746,0.06545222206270747,0.06149791982177493,0.074356059831174,0.0746926956022993,0.06701300608818145,0.06764261615923318,0.07615334860027556
1X,Yamnaya,0.055780303685472654,0.05648669519702405,0.05460360718683743,0.05503964356560378,0.05539435787710318,0.063834780705512,0.0680851984581526,0.06487786659909622,0.06867149329295073,0.0636624503551963,0.0808495699113033,0.08022267265062678,0.07607251229034695,0.07596909427906152,0.0804497539457124
05X,USR1,0.08270222580387027,0.08763290513244706,0.08310670393302196,0.08735579453505374,0.08841088061447486,0.05945790709610359,0.057401031980659344,0.05733352888755894,0.05886272014336272,0.05715344539456259,0.056130771561921554,0.0572333840510296,0.053278024213884785,0.053466781545933616,0.060473895106115366
05X,Kolyma1,0.08294406768682829,0.09047316640867085,0.08223893955203773,0.08659812929634009,0.08866916819678705,0.06397512098133114,0.0601682322810633,0.0613850003289896,0.05989469973900931,0.061006829509633466,0.05273300138146933,0.05258659718114684,0.05058961158077783,0.050550844332729876,0.05618659154318535
05X,KK1,0.05147945822915128,0.04977303950838696,0.0502807087046891,0.052079993223874896,0.05134544471307749,0.06478074725580449,0.0733153140405087,0.06830227911933083,0.07226155537411479,0.06845845341612435,0.07950767637310133,0.0806975601244851,0.08217878293477218,0.07987532166051242,0.07566366532206614
05X,Loschbour,0.05136364596902061,0.051445896482416265,0.050570813314065696,0.051449847721550465,0.049916573426093395,0.056185417156750635,0.06210085370578665,0.056314406829589055,0.06150848969103514,0.05711665464937648,0.09366072259678944,0.0919236905925608,0.0843628207142329,0.08920036757701352,0.0928797995737189
05X,sf12,0.051290052046211516,0.05293166127162612,0.04952921467867663,0.051156473908533465,0.05205709004149954,0.0611257682677228,0.06576934347768149,0.061546226894843264,0.06659822885664393,0.05988353215672393,0.0892119852766966,0.08974801395805777,0.07998469724905535,0.08324906552131564,0.08591864639471194
05X,SRA62,0.0474963341207745,0.046796076577425495,0.0471932829144409,0.04768952118445531,0.04727858393444888,0.05916359395594713,0.06244430648491905,0.05714761097116855,0.06308932106182855,0.057672930777531856,0.09651374953775257,0.0934916355970869,0.08774672455865655,0.09161749670447998,0.09465883161908396
05X,2H10,0.0480778562509274,0.04745656498947105,0.04800555421722912,0.04839399627474463,0.0478738824480891,0.056658921361869535,0.060294110187208955,0.05790166122479302,0.06442097597545189,0.05668799454976746,0.0918421455755034,0.09388337601238313,0.0961706957660055,0.09566072518186178,0.08667153998469405
05X,2H11,0.0458483107479793,0.04629785546801785,0.04605975550077547,0.046783415376982045,0.04539283329346371,0.058183309079406685,0.06326450652828569,0.059550461306862625,0.06329401338874052,0.05791999821321886,0.09615316911661097,0.09453740253177605,0.09016314066341058,0.09518813101354294,0.09136369777092658
05X,atp016,0.04100095436722372,0.04373155238155397,0.04326100836119466,0.043272575331870795,0.04447273349949437,0.057738192406664515,0.06652207968978723,0.06106304887144013,0.06767390913338721,0.061364134301487946,0.09418507909876146,0.09308625582786309,0.09698245014249363,0.09775092959575178,0.0878950969910254
05X,BA64,0.051116835209371735,0.04957144176226583,0.04812160065577204,0.050143480572005183,0.05088234013850616,0.056934372328880364,0.06336992856236602,0.05873294899024036,0.06289011275055019,0.05834093165061651,0.09052026853857177,0.08708208917687921,0.09188499235616292,0.09428542264861743,0.08612323465919426
05X,JP14,0.04880291489613746,0.049257987701701686,0.046582332698569186,0.047997989173234605,0.04959709657308991,0.056680716338360436,0.061872536715116146,0.05939081185293922,0.06470914168945939,0.05821269838563405,0.09176441151810447,0.09180143080590049,0.09261058083069135,0.0919422111632249,0.08877713965783675
05X,NE1,0.0446790540723329,0.0456709870707068,0.04231686375284241,0.04435999326978091,0.04557993989441173,0.05814866799623768,0.06626550029253936,0.060948799203804076,0.06651269577549145,0.05980836370660357,0.09313871744317173,0.09254440776427549,0.10062124710003094,0.09458479839800489,0.08481996425976614
